,Embedded_text,majority_sentiment
756,"Seit wann stehen Verbote für Freiheit, Frau  @ABaerbock ? #Triell 54 171 1.116",2
757,"Walter #Lübcke wurde ermordet, weil er sich für jene einsetzte, die unsere Unterstützung brauchen. Heute, zwei Jahre später, ist der Kampf gegen Rechts, Hass und Rassismus wichtiger denn je. Die nahende Wahl in Sachsen-Anhalt zeigt das deutlich.  Daher gilt: #KeinVergessen! 251 121 937",3
759,"Wofür braucht die Partei der Besserverdienenden einen Sozialstaat?  Baerbocks Migrationspolitik gefährdet unseren Sozialstaat via  @welt welt.de Annalena Baerbock: Wie ihre Migrationspolitik den Sozialstaat gefährdet - WELT Nach dem Willen der Grünen soll es für „gering- und unqualifizierte“ Einwanderer leichter werden, nach Deutschland zu kommen. In Kombination mit höheren Hartz-IV-Sätzen und aufgestocktem Kindergeld... 9 49 108",2
760,"Übermorgen tagt der Wahlausschuss. Gibt es noch was, das wir wissen sollten? #wahlchaos 4 47 92",3
761,"„Die Wolke über Deutschland“ in Pro7 !!! #Tschernobyl. Wahrheiten, die früher die Mehrheit negiert hat #CDU #CSU . #trisomie21 #Molke sollte exportiert werden  , Was #Atomernergie kostet: #Gesundheit 6 9 81",2
762,"Ich möchte von Leuten wie Frau Dörner, die anderen das Gendern aufzwingen, nie wieder hören, dass es sich bei diesem Unsinn um eine „natürliche Fortentwicklung der Sprache“ handelt. WDR Aktuelle Stunde @aktuelle_stunde  · 7. Juli 2021 Die Stadt Bonn hat einen Leitfaden herausgegeben, der den knapp 7000 Mitarbeiterinnen und Mitarbeitern ""geschlechtergerechte Sprache"" verbindlich vorschreibt. Der Vorstoß sorgt in der Stadt für Diskussionen - OB @KatjaDoerner empfindet diese aber als wichtig. 14 50 260",2
763,"Die Impfbereitschaft in UK ist sehr beeindruckend. Bei den > 50 Jährigen wird Herdenimmunität erreicht. Grosse Wellen an Sterbefällen sind so praktisch ausgeschlossen, auch mit indischer Variante. Hoffentlich erreichen wir eine ähnlich gute Impfquote. Dafür müssen wir werben. 373 553 5.594",1
764,"Das Bayerische Gesundheitsministerium sollte alle Namen der Abgeordneten veröffentlichen, die im Zusammenhang mit der Beschaffung von u.a. Corona-Schutzmasken gegenüber dem Ministerium in Erscheinung getreten sind und aufzeigen, was daraus folgte. #Transparenz #maskenskandal 8 10 98",3
765,"""Europa muss eine klare Haltung haben. Die deutsche Bundesregierung sollte gegenüber der EU-Kommission Sanktionen gegen Ungarn einfordern, zum Beispiel eine Reduzierung der europäischen Fördergelder"", schlägt  @ABaerbock  vor. #MSCdebate 42 49 385",3
766,"Gewünschte Verhaltensänderungen sind keine Funktion des Drucks, der auf die Betroffenen ausgeübt wird. Menschliche Gesellschaften funktionieren nicht mechanisch. Druck führt zu Gegendruck. In der Verhaltenswissenschaft nennt man das Reaktanz. 738 445 1.602",3
768,Und auch diese Woche wird wieder lecker gekocht. Unter anderem morgen 11 Uhr in Friedrichshagen mit  @GregorGysi  und  @schatzbln . Alle Termine: https://dielinke.berlin/2021/kochtour/ 5 9 72,3
769,"Mit dieser Aussage wird  Wolfgang #Schäuble seiner Verantwortung als Bundestagspräsident in keiner Weise gerecht. Wir setzen alles daran, den Einzug von #Maaßen in den Bundestag zu verhindern. Ruben Moratz @RubenMoratz  · 10. Sep. 2021 Bemerkenswert, was Schäuble heute über Maassen sagt. ""Unbestreitbar Demokrat, das ist die ganze Bandbreite des politischen Spektrums"" @SWRAktuellBW Diesen Thread anzeigen 63 116 864",2
770,"Wir schulden den Schüler*innen, den Unternehmen, den Pflegekräften - kurzum: Wir schulden allen Bürger*innen einen klaren Kurs, der diese Pandemie beendet. Die Reform des #Infektionsschutzgesetzes ist dabei ein wesentlicher Teil. 259 44 139",3
771,Das Festjahr Jüdisches Leben in Deutschland erreicht seinen Höhepunkt. Vor 1700 Jahren erließ Kaiser Konstantin das Dekret 321: Der erste Beleg über Jüdinnen und Juden im heute deutschsprachigen Raum. Deshalb: Flagge zeigen – für jüdisches Leben und gegen Antisemitismus #2021JLID 3 17 123,3
772,"Erst das #Triell ums Kanzleramt mit  @ABaerbock , dann  @annewill  mit  @PaulZiemiak ,  @Jana_Hensel ,  @KuehniKev ,  @HoffmannSpiegel  und mir um 21:45 Uhr im Ersten. Den #Tatort dann eben erst nach Feierabend in der Mediathek  48 75 887",3
773,"Wir !  Aber Franziska Giffey hat recht: ""Es kann nicht sein, dass Hunde früher in die Schule gehen als Kinder und Jugendliche."" Bericht aus Berlin @ARD_BaB  · 2. März 2021 Hundeschulen oder Kinder & Jugendliche? – Familienministerin Franziska Giffey (SPD) stellt klare Forderungen vor dem Bund-Länder-Treffen. 207 61 97",3
776,"Johann van de Bron @Johann_v_d_Bron  · 27. Nov. 2021 Stellungnahme der @Leopoldina: ""Coronavirus-Pandemie: Klare und konsequente Maßnahmen - sofort!"" Einführung einer stufenweisen Impfpflicht Sofortige umfassende Kontaktbeschränkungen Strikte, kontrollierte und sanktionierte 2G-Regelung  https://leopoldina.org/publikationen/detailansicht/publication/coronavirus-pandemie-klare-und-konsequente-massnahmen-sofort/… 2 1 26",3
777,"Mit einem Großen #Zapfenstreich wird heute Kanzlerin Angela #Merkel verabschiedet. Eine große Politikerin verlässt die Bühne. Das internationale Ansehen Deutschlands hat viel mit ihr zu tun. Ich sage Danke für die gute Zusammenarbeit. Und von Herzen, alles Gute! 55 49 701",1
778,"Gemeinsam alles gegeben, damit früher der Bau startet. Markus Söder @Markus_Soeder  · 14. Juli 2021 Neues elektronisches Stellwerk München-Ost – das Gehirn des ÖPNV im Großraum #München. Mehr Service, mehr Pünktlichkeit: Zusammen mit der 2. Stammstrecke ist das ein zentraler Baustein für Mobilität in der Region. Heute Startschuss für das 222-Mio.-Euro Projekt. @DB_Bahn 21 2 11",3
779,Back home.   Ich raste aus.  #JovicIsBack #Jovic #Adler #Adler4Life #AdiosCapitano #SGE #SGES04 #Eintracht #Frankfurt #nurdieSGE #DieseEineLiebe #EintrachtFrankfurt 33,1
780,"Zum Tag des Grundgesetzes: Wir brauchen weltoffenen Patriotismus. Eine Gesellschaft der Vielfalt, die Gemeinsamkeiten statt Unterschiede betont. Es ist eine Einladung des kulturellen Miteinanders - statt des Nebeneinanders! #Verfassung #Grundgesetz   https://deutschlandfunk.de/tag-des-grundgesetzes-cdu-generalsekretaer-ziemiak-ruft-zu.1939.de.html?drn:news_id=1262053… 70 23 74",3
781,"Presseinfo: Henning #Otte: Soldatinnen und Soldaten gebührt großer Dank cducsu.de Soldatinnen und Soldaten gebührt großer Dank Die Bundeswehr hilft weiterhin mit zahlreichen Kräften in den Regionen in Nordrhein-Westfalen und Rheinland-Pfalz, die vom Hochwasser besonders betroffen sind. Dazu können Sie den verteidigun... 5 5 20",1
782,". @MWBirkwald : Forderungen nach Erhöhung der #Regelaltersgrenze sind angesichts der neuen Zahlen eine zynische Umschreibung für #Rentenkürzungen. Knapp 15% der älteren Menschen sterben vor ihrem 65. Geburtstag, 20% der Menschen vor ihrem 69. Geburtstag. linksfraktion.de Arbeiten bis zum Umfallen ist längst Realität – weg mit der Rente erst ab 67 „Wer nicht akzeptieren will, dass arme und hart arbeitende Menschen früher sterben, hohe Rentenabschläge in Kauf nehmen müssen und von ihrer Rente später einmal nichts haben, muss für gute Arbeitsb... 1 7 20",2
783,"„Der Respekt vor den Delegierten des #CDU-Bundesparteitags gebietet es, das Votum der #Mitgliederbefragung erst als endgültig anzusehen, wenn die Delegierten am 21./22. Januar entschieden haben. Erst dann können wir im neuen Bundesvorstand unsere Arbeit aufnehmen.“ (tm) #MerzMail 135 52 667",3
785,"Frontex hat ein gefährliches Eigenleben entwickelt. Seit Monaten fordern  @GrueneBundestag  Aufklärung und Kontrolle. #frontexfiles gruene-bundestag.de Luise Amtsberg zu Frontex-Files Frontex hat ein gefährliches Eigenleben entwickelt, das zwingend abgestellt werden muss. 3 25 111",3
786,In der #Corona-Politik wird viel exekutiv und wenig parlamentarisch entschieden. Demokratie schafft Transparenz und erhöht so Vertrauen und Akzeptanz. Wir sollten die Stärken unserer Demokratie gerade jetzt gezielt nutzen. Statement für  @berlindirekt  https://zdf.de/politik/berlin-direkt/berlin-direkt-clip-1-436.html… 7 13 102,3
787,Auf geht‘s zu meiner 2. politischen Sommerwanderung. Heute in Rosenfeld. 3 6,3
788,"Täglich um 11.25 Uhr  @DieMaus , ersetzt natürlich keine Notbetreuung und keinen notwendigen Bildungsauftrag der Schulen für alle Kinder. Gute Idee trotzdem ARD @ARD_Presse  · 10. Jan. 2021 Der @WDR sendet ab dem 11. Januar 2021 – wie schon in der Phase des ersten Lockdowns – die Sendung mit der Maus (@DieMaus) täglich um 11:25 Uhr im WDR Fernsehen. Auf der Seite mit der Maus gibt es zudem viele Wissensfilme, Podcasts und auch Spiele.  https://wdrmaus.de Diesen Thread anzeigen 1 8 83",3
789,Wir wünschen unserem Bayerischen Justizminister Georg Eisenreich alles Gute zum Geburtstag! 3 30,1
790,"Ich will die  @cdu  zu neuer Stärke führen, für unser Land und für ein geeintes Europa! #JUPitch #jetztabervoran 8 4 79",1
791,"Eine liberale  #Corona-Politik würde auch Perspektiven eröffnen, statt das Land mit Durchhalte­parolen von einem #Lockdown in den nächsten zu führen. Alternativlos ist auch in der Corona-Politik nur wenig.  Im Gespräch mit  @marktintern ... markt-intern.de Volker Wissing: Frau Merkels Politik ist ideenlos Es ist schon eine ganze Weile her (August 2013), da war Dr. Volker Wissing bereits einmal Gast der Gesamtredaktion des 'markt intern'-Verlages. Damals in seiner Eigenschaft als ­Finanzpolitischer... 6 11 50",3
794,"Wir sind optimistisch, dass wir bis Dezember eine neue Regierung bilden können. Denn wir haben erstens einen sehr klaren Prozess vereinbart, wie wir offene Fragen klären. Zweitens sind alle Verhandlungspartner kompromissfähig. 3 2 27",1
795,"Dank zurück - das hört sich doch gut an. Wenn wir gut zusammenhalten und aufeinander achtgeben, finden wir einen Weg. Torsten Müller @tomueko  · 23. Feb. 2021 #Neustarthilfe  Ich habe ja ausführlich genörgelt und gedrängelt - aber jetzt muss die Umsetzung auch gelobt werden: Antrag am Dienstag, Bescheid am Freitag, Geldeingang heute. Vielen Dank: @BMF_Bund @OlafScholz @W_Schmidt_ @BMWi_Bund @peteraltmaier @spdbt @EskenSaskia @cducsubt 1 3 42",1
796,"Konrad Adenauer verband seine feste Verwurzelung in der christlichen Tradition, mit dem Pragmatismus des selbstbewussten Bürgers und der Bereitschaft, mutig Neues zu wagen!  Grundsatztreue und Modernisierung gehören seit Konrad Adenauer zum Markenkern der  @CDU !  @cducsubt 2 22",1
797,Wir vermitteln gerne.  Hazel Brugger @hazelbrugger  · 1. Juni Lieber @Karl_Lauterbach wie schaut’s aus? 6 8 245,3
799,"Seit heute ist die Website zum #Lobbyregister, das ab dem 1.1.2022 verpflichtend ist, online. Ein Erfolg der  @Linksfraktion , der – man kann es nicht anders sagen – ohne die tatkräftige Unterstützung einiger Unions-MdB so schnell nicht möglich gewesen wäre. https://lobbyregister.bundestag.de 4 36 141",1
800,"“Wir wissen: Wahlkämpfe in Deutschland gehen nicht ohne die JU. Danke für euren Einsatz und eure Arbeit!”  @jensspahn , ehem. JU-Kreisvorsitzender. #DLT21 8 7 33",1
801,"Unglaublich Alexander Schweitzer @Alex_Schweitzer  · 28. Juni 2021 Ich erwarte juristische und politische Konsequenzen! Mitglied der AfD #RLP verletzt Bürgermeister Hans Dieter Schneider (SPD) und beleidigt MitarbeiterInnen der Verwaltung.   https://rheinpfalz.de/lokal/pfalz-ticker_artikel,-afd-mitglied-rastet-vor-sitzung-des-kreistags-aus-und-greift-b%C3%BCrgermeister-an-_arid,5221098_co,1.html… 2 2 13",2
802,"Die BReg muss alle #Abschiebungen nach #Afghanistan sofort aussetzen. Weitere Rückführungen sind fatal und verantwortungslos. Es ist eine moralische Bankrotterklärung, dass die Bundesregierungen die Augen vor der Verschlechterung der Lage verschließt. gruene-bundestag.de Abschiebungen stoppen - Afghanistan ist nicht sicher Die Bundesregierung muss Abschiebungen nach Afghanistan endlich stoppen. 2 15 73",2
803,"Letzte Sitzung des Innenausschusses in der 19. Wahlperiode: Ich bin dankbar für die spannende Zeit rund um die Themen Sicherheit, Migration und Verwaltung  Von vielen Persönlichkeiten in diesem Politikbereich habe ich in den vergangenen Jahren einiges lernen dürfen  2 2 55",1
804,"Was für ein tolles Signal. Ich freue mich über die Unterstützung, danke Farin Urlaub! #bereitweilihresseid Sebastian Pertsch @Pertsch  · 18. Juli 2021 Farin Urlaub wählt offenbar @Die_Gruenen. Diesen Thread anzeigen 18 93 758",1
806,"(1) Lockdown muss man leider weiter fortsetzen, weder notwendiger R-Wert von 0,7 noch relativ sichere Inzidenz von 25 sind erreicht. Anteil Mutationen steigt so weiter stark an, ich schätze auf mindestens 50%/Woche. Laut RKI Varianten 6% ist Unterschätzung http://deutschlandfunk.de/corona-lauterbach-und-kmk-praesidentin-ernst-fuer.1939.de.html?drn:news_id=1224505… 235 293 2.073",3
807,"„Ich teile die Naivität von großen Teilen der deutschen Wirtschaft gegenüber #China nicht. Die #Seidenstraße ist nichts anderes als ein imperiales Projekt. China ist ein autoritäres kommunistisches Regime, das in jede Lücke stößt, die Amerika hinterlässt.“ (tm) #Lanz 90 147 1.240",2
808,"#Planwirtschaft ist nicht immer #Sozialismus. Entscheidendes Kriterium ist, ob Verbraucher und Produzenten entscheiden, was wirtschaftlich getan wird, oder Politiker. Gibt es formal #Privateigentum ohne Entscheidungsfreiheit ist es auch Planwirtschaft. Sagte schon Walter Eucken. 4 3 45",3
809,"#Polen: Wenn ein Land sich politisch dafür entscheidet, Teil der EU zu sein, muss es auch die vereinbarten Regeln voll & ganz umsetzen. Mitglied in der #EU zu sein, bedeutet, gemeinsame Werte verfolgen, von einem starken Binnenmarkt profitieren & mit einer Stimme sprechen. (1/2) 308 115 469",3
810, TV-Tipp: Heute Abend um 20:15 Uhr stellt sich unser Parteivorsitzender und Kanzlerkandidat  @ArminLaschet  auf  @ProSieben  den Fragen von  @lindazervakis  und  @louisklamroth . Nicht verpassen! 188 56 279,3
811,"Bin einigermaßen fassungslos, wie auch geschätzte Kolleginnen und Kollegen von CDU/CSU ihr Wahldesaster so schönreden können. Das ist das schlechteste Ergebnis seit Bestehen der Union. Vielleicht mal ausschlafen und mit vernünftigen Menschen reden… 10 17 320",2
812,"Wenn der Fraktionsvorsitzende  @mariovoigt  seine eigenen garantierten Stimmen aus der  @cdu_fraktion_th  liefern würde, gäbe es überhaupt keine Diskussion, ob der  @ThuerLandtag  aufgelöst wird. Man muss nicht nur Fraktionsvorsitzender sein wollen, sondern auch das Profil dazu haben. Thüringer Allgemeine @TAOnline  · 11. Juli 2021 Voigt fordert von Ramelow mehr Engagement für Auflösung des Landtages https://thueringer-allgemeine.de/politik/voigt-fordert-von-ramelow-mehr-engagement-fuer-aufloesung-des-landtages-id232758377.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#Echobox=1625990759… 9 27 137",3
814,"Hallo? CDU, FDP und AfD haben in Erfurt in trauter Eintracht einen Regierungschef gewählt. Es bedurfte öffentlicher Empörung, um diese Katastrophe zu korrigieren. #SchandevonErfurt TomP @musicbyTomP  · 28. Feb. 2021 Antwort an @Ralf_Stegner Bei Stegner ist alles verrutscht. Er tut so, als ob in Thüringen ein AfD – Ministerpräsident gewählt worden wäre. Die Koalitionen der SPD mit der umbenannten SED sind dagegen sehr real. 40 8 27",2
815,Gleich beginnt der Livestream von unser Jahresauftaktklausur . Neben dem Talk mit  @OlafScholz  gibt es im Livestream auch die Statements unserer Spitze. Den Livestream findet ihr auf http://spd.de und direkt auf unserem Profil. Schaltet ein!  SPD Parteivorstand @spdde  · 7. Feb. 2021 In wenigen Stunden geht's los! Unser Kanzlerkandidat @OlafScholz stellt auf der Jahresauftaktklausur des SPD-Parteivorstandes unsere Zukunftsmissionen für Deutschland vor. Und ihr könnt live dabei sein: http://spd.de  #SozialePolitikFürDich 5 8,3
817,"Heute Morgen nochmal #Bundesrat, jetzt #Bundestag. Vermutlich der letzte Sitzungsdienst auf der Regierungsbank in dieser Wahlperiode. Es war mir manchmal blümerant, aber stets eine Ehre. Allen, die ausscheiden, von Herzen alles Gute. 1 3 52",1
818,Sehr gute Entscheidung von  @ArminLaschet  bei der Digitalisierung auf  @DoroBaer  zu setzen. 28 11 158,1
819,Guten Morgen aus Bordesholm. Mein Musiktipp für Euch da draußen im digitalen Orbit ist von der gerade verstorbenen  Milva - Songo di Liberta Schönen Montag! youtube.com Milva - Songo di Liberta (Mikis Theodorakis) MILVA - | Official Audio Release HQ © 1996 FM Records S.A. Greece. iTunes: http://geni.us/iTunesMilva  3 2 13,3
820,"Diejenigen, die bei den Grünen bei der #Rente das Sagen haben, meinen allen Ernstes: kapitalgedeckten Altersvorsorge sei „generell nicht geeignet“. Wenn die Wählerinnen & Wähler wüßten, wie links die Grünen in der Sozialpolitik sind, würden viele von ihnen weglaufen! 43 172 1.059",3
821,"Das Compliance-System der Bafin ist hinterwäldlerisch #Wirecard Handelsblatt: Interne Taskforce soll Complianceregeln bei der Bafin verbessern - handelsblatt.com Interne Taskforce soll Complianceregeln bei der Bafin verbessern Erst Wirecard, dann Gamestop – an immer mehr privaten Finanzgeschäften von Bafin-Mitarbeitern gibt es Kritik. Die Aufsicht will ihre Kontrollsysteme verbessern. 4 1 14",3
822,"Was tut ihr jetzt?  @AuswaertigesAmt  @HeikoMaas  @OlafScholz Livia Gerster @feminaprinceps  · 16. Aug. 2021 KSK-Dolmetscher Ahmadi (über den ich ⁦@faznet⁩ berichtete, s.u.) sagt gerade: Das Safe House für Bundeswehr-Helfer & ihre Familien, das Hauptmann Grotian eingerichtet hatte, sei aufgelöst. Der Flug abgesagt. Die Ansage: schlagt euch irgendwie durch.  https://faz.net/aktuell/politik/ausland/zurueckgelassene-ortskraefte-einem-bundeswehr-dolmetscher-droht-der-tod-17484162.html?premium=0xa17b0301e3305b8a5f1810a0efbb7fda&GEPC=s9… Diesen Thread anzeigen 15 52 159",3
823,"Der - Integrationsrat hat sein Arbeitsprogramm abgeschlossen. Wir haben viel voneinander gelernt, um gesellschaftlichen Zusammenhalt in bunten Gesellschaften zu stärken. Danke+Merci an die Mitglieder für die konstruktive Arbeit! Weiter geht‘s mit dem - Integrationsforum. 1 10",1
824,"In der #Liveschalte mit  @ntvde : Der #cdupt21 wird ganz anders werden als wir das gewohnt sind. Wer morgen auch das Rennen um den #Parteivorsitz macht, hat eine Aufgabe: die  @cdu  zusammenzuhalten. Denn wir sind #Volkspartei mit all ihren Facetten. #wegenmorgen 2 5 16",3
825,"Raus aus der CSU-Landtagsfraktion, 40 Jahre Parteikarriere von #Sauter - jetzt soll alles anders werden bei der #CSU. Wir werden sie daran messen, was sie im Landtag & Bundestag an schärferen Regeln zu Transparenz beschließt & nicht an ihren Ankündigungen. sueddeutsche.de Bayern: Sauter tritt aus CSU-Landtagsfraktion aus Nach den Korruptionsermittlungen gegen ihn tritt der frühere bayerische Justizminister Alfred Sauter aus der CSU-Landtagsfraktion aus. 1 8 84",3
826,#Myanmar ! Natalie Amiri @NatalieAmiri  · 4. Feb. 2021 Hilferuf aus #Myanmar. Ich habe mit der Filmemacherin Shin in ihrem Land gearbeitet. Sie waren damals 2012 so hoffnungsvoll... 1.916 Mal angezeigt 0:04 / 1:49 2 13,3
827,Wichtiges Signal: Die Regierung von Schlewsig-Holstein bietet der Gastronomie eine Perspektive. In Kreisen mit beherrschbaren Inzidenzen und unter strengen Auflagen soll eine vorsichtige Öffnung der Außengastronomie möglich sein. Der bundesweite #Lockdown ist nicht alternativlos. NDR SH @NDRsh  · 7. Apr. 2021 Die #Außengastronomie in #SchleswigHolstein darf bei einer stabilen #Inzidenz unter 100 öffnen. Das hat #Ministerpräsident Daniel Günther am Mittwochnachmittag angekündigt.  http://NDR.de/SH/gastro158.html… 46 25 215,3
828,"Im Internet kann es schon mal hektisch werden. Da den Überblick zu behalten ist schwer, aber möglich! Eine wöchentliche Zusammenfassung bietet unser Social-Media-Briefing. spd.de Das Social-Media-Briefing aus dem Willy-Brandt-Haus | KW 23 Die Netz-Highlights rund um die SPD, die auch rückblickend keiner verpasst haben sollte. Diese Woche unter anderem mit einem historischen Fortschritt in Sachen globaler Gerechtigkeit und unserer... 2 5 35",3
829,"Zum Anschlag auf die #Bundeswehr in Mali erklärt der außenpolitische Sprecher der #AfD-Bundestagsfraktion,  @Paul_Hampel_BT : ""Deutsches Kontingent aus #Mali  abziehen!"" #Bundestag #Afghanistan afdbundestag.de Hampel: Deutsches Kontingent aus Mali abziehen Berlin, 30. Juni 2021. Zum Anschlag auf die Bundeswehr in Mali erklärt der außenpolitische Sprecher der AfD-Bundestagsfraktion, Armin-Paulus Hampel: „Der Zeitpunkt für die heutigen Sondersitzungen... 2 32 90",3
830,"Die Herablassung, mit der Freiheit während der Pandemie als Schimpfwort benutzt wird, tut der Gesellschaft nicht gut. Aber die Eindimensionalität, mit der sie radikale Impfgegner und Querdenker für sich reklamieren, auch nicht. Mein Gastbeitrag  @faznet faz.net Corona-Maßnahmen: Freiheit ist kein Schimpfwort Es ist nicht unmoralisch, sich auf Freiheit zu berufen. Doch Freiheit ist eine Gemeinwohl-Kategorie – auch während einer Pandemie, wo sie oft gefehlt hat. Wer sie nun schützen möchte, wird sich einer... 96 54 389",2
831,Deutscher #Auto-Standort muss erhalten bleiben! #afd  Es wird immer düsterer um die Situation von einer der wichtigsten deutschen Schlüssel-Industrien.  Mehr erfahren: https://afdkompakt.de/2021/10/21/deutscher-auto-standort-muss-erhalten-bleiben/… #daimler #vw 17 34 185,3
832,"2012 musste ich für die  @fdp  die Erhöhung der #Minijobs auf 450 Euro für junge Menschen der  @CDU  buchstäblich abringen. Jetzt steht Erhöhung im CDU-Sofortprogramm - gut. Aber wieder nur als kurzfristige Aktion, keine dauerhafte Lösung durch Kopplung an den Lohn. CDU pur!  3 13 212",3
835,Impfen ist ein wichtiger Bestandteil des Weges aus der #Corona Pandemie. Deshalb haben sich Bundesregierung & Ministerpräsidenten gestern beim #Impfgipfel auf das weitere Vorgehen geeignet. Was kommt jetzt genau & was ist neu? Alle Infos zum Nachlesen:  https://cdu.de/corona/nationaler-impfplan-kommt… 69 17 33,3
836,"#Verpackungsgesetz Ralph Lenkert: Duale Systeme können weiterhin die Sammelleistung der Kommunen nutzen, ohne dafür zu zahlen. Union sichert privaten Entsorgern fette Zusatzprofite. LINKE fordert: Ohne Vertrag gilt automatisch Gebührenrecht. youtube.com Ralph Lenkert, DIE LINKE: Chance erneut vertan beim Verpackungsgesetz 06.05.2021 - Auch nach der Novelle werden die Dualen Systeme weiterhin die Sammelleistung der Kommunen nutzen können, und weiterhin in vielen Fällen nicht da... 1 9",3
837,"Sind „durchwachsene“ Sommer ein (weiterer) Beweis für menschengemachte #Klimahysterie? LVZ @LVZ  · 26. Aug. 2021 Der Sommer 2021 ist bislang durchwachsen, die Aussichten sind ebenfalls trüb. Die Freibäder in #Leipzig überlegen deshalb, ihre Saison früher zu beenden als geplant. Doch es gibt noch Hoffnung. https://lvz.de/Leipzig/Lokales/Freibaeder-in-Leipzig-und-Dresden-Schliessen-sie-frueher?utm_medium=Social&utm_source=Twitter#Echobox=1629985225-1… 25 4 55",2
838,"#Servicetweet: Die für 13:30 Uhr geplante Pressekonferenz mit  @ArminLaschet  &  @PaulZiemiak  wird gegen 14 Uhr beginnen.  CDU Deutschlands @CDU  · 12. Apr. 2021 +++ Nicht verpassen +++  Ab 13:30 Uhr: Pressekonferenz im Nachgang an die Gremiensitzungen mit unserem Vorsitzenden @ArminLaschet und Generalsekretär @PaulZiemiak, live aus dem Konrad-Adenauer-Haus. 104 15 31",3
839,"Gleich zwei liberale Regierungschefs wünschen uns viel Erfolg! Damit Europa ein Kontinent der Freiheit und des Wohlstands bleibt. Danke,  @kajakallas  und  @markrutte ! #bpt21 der  @fdp  #vielzutun 3 3 60",1
840,"Ich kann mich nur wiederholen: Maskenpflicht und Testpflicht in Unternehmen und Verwaltung, dort wo kein Homeoffice möglich ist. Ansonsten: Homeoffice verbindlich dort wo es geht. OXI @oxi_blog  · 29. Apr. 2021 Neue Zahlen des #Cosmo-Projekts @CorneliaBetsch ua @unierfurt: ""Generell ist die Anzahl der beruflichen Kontakte deutlich höher als die Anzahl privater Kontakte... finden viele berufliche Kontakte ohne regelmäßige Tests statt."" Mehr hier: https://projekte.uni-erfurt.de/cosmo2020/web/summary/41/… #Arbeitsschutz Diesen Thread anzeigen 4 9 72",3
841,"Ein pragmatischer, sinnvoller Vorschlag des Handels. So und mit ergänzenden Schutzkonzepten für alle wäre jetzt schon eine #Öffnung verantwortbar. CL t-online.de Einzelhandel plädiert für Senioren-Öffnungszeiten In Ländern wie Großbritannien war die Idee ein Erfolg, jetzt schlagen auch deutsche Einzelhändler vor: Ältere Menschen sollen zu bestimmten Tageszeiten alleine und damit sicherer einkaufen gehen... 101 39 362",1
842,"Ich freue mich über die lobenden Worte im heutigen Porträt in der  @noz_de  und würde mich freuen, auch in der nächsten Legislaturperiode für die  @fdp  an der Innen- und Rechtspolitik mitarbeiten zu können  noz.de Konstantin Kuhle: Das nächste Wunderkind der FDP? Bundestagswahl 2021: FDP-Grande Kubicki brachte ihn schon als möglichen Nachfolger von Lindner ins Spiel. Alle mögen Konstantin Kuhle. Wie macht er das? 4 2 135",1
844,Danke für den Besuch   @yannickshetty  @neos_eu Yannick Shetty @yannickshetty  · 22. Juni 2021 Spannender Austausch mit @KonstantinKuhle und Kolleginnen und Kollegen der FDP Fraktion in Berlin  43,1
845,Unsere Agrar-Politiker wollen klein- und mittelständische Unternehmen beim Export ihrer Agrarprodukte unterstützen – durch Veterinärabkommen & digitale Exportbescheinigungen.  @StegemannAlbert  erklärt das neue Positionspapier: cducsu.de Agrarexporte sind Mittel im Kampf gegen Armut und Ernährungsunsicherheit Mit Blick auf die Internationale Grüne Woche 2021 haben die Agrarpolitikerinnen und -politiker der CSU/CSU-Bundestagsfraktion ein gemeinsames 1 2 10,3
846,"Ich freue mich & finde es sehr fair, dass die  @MIT_bund  heute das Gespräch mit allen drei Kandidaten gesucht hat. Vielen Dank für den Austausch! Ich schätze Wettbewerb so sehr, dass ich ihn auch für die #CDU wollte. Klar ist aber auch: Nach der Wahl endet der interne Wettbewerb. Mittelstands- und Wirtschaftsunion (MIT) @MIT_bund  · 14. Jan. 2021 Delegiertenvorbesprechung vor dem #cdupt21. 400 der 1001 Delegierte sind MIT'ler. Alle 3 Kandidaten für den #cduvorsitz werben nochmal für sich: @ArminLaschet @_FriedrichMerz @n_roettgen. MIT-Chef Linnemann verspricht: ""Egal wer gewinnt, wir werden ihn unterstützen."" #wegenmorgen 7 6 64",1
847,"Die Rückkehr zum Pariser Klimaabkommen #COP21 und zur  @WHO , ein Bekenntnis zur  @NATO , #Diplomatie anstelle von Provokation: Die ersten 100 Amtstage von  @POTUS  Joe #Biden stimmen hoffnungsvoll, was eine enge und erfolgreiche transatlantische #Partnerschaft angeht. 10 5 40",1
848,"Heute wäre Sophie Scholl 100 Jahre alt geworden. Ihr mutiger und bedingungsloser Kampf gegen den Nationalsozialismus bleibt unvergessen. Es ist ist unsere Aufgabe und Verpflichtung uns jeden Tag neu gegen rechtes Gedankengut, Antisemitismus, Hass und Hetze zu stellen. #niewieder 41 59 570",3
